,Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Running Time (min),Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
1347,The Butterfly Effect,57924679,96046844,NA,13000000.0,23-Jan-04,R,113.0,New Line,Original Screenplay,Thriller/Suspense,Science Fiction,NA,33.0,7.8,102982.0
1348,"O Brother, Where Art Thou",45506619,65976782,NA,26000000.0,22-Dec-00,PG-13,102.0,Walt Disney Pictures,Traditional/Legend/Fairytale,Comedy,Historical Fiction,Joel Coen,NA,NA,NA
1349,Batman & Robin,107325195,238317814,NA,125000000.0,20-Jun-97,PG-13,130.0,Warner Bros.,Original Screenplay,Action,Super Hero,Joel Schumacher,11.0,3.5,81283.0
1350,Boat Trip,8586376,14933713,NA,15000000.0,21-Mar-03,R,NA,Artisan,Original Screenplay,Comedy,Contemporary Fiction,NA,7.0,4.7,13258.0
1351,Bubba Ho-Tep,1239183,1239183,NA,1000000.0,19-Sep-03,R,NA,Vitagraph Films,Based on Book/Short Story,Comedy,Fantasy,NA,NA,7.3,23110.0
1352,Bubble,145382,145382,NA,1600000.0,27-Jan-06,R,NA,Magnolia Pictures,Original Screenplay,Drama,Contemporary Fiction,Steven Soderbergh,NA,4.6,101.0
1353,Bubble Boy,5002310,5002310,NA,13000000.0,24-Aug-01,PG-13,NA,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,NA,30.0,5.4,11073.0
1354,Buffalo '66,2380606,2380606,NA,1500000.0,26-Jun-98,R,NA,Lionsgate,Original Screenplay,Comedy,Contemporary Fiction,Vincent Gallo,78.0,7.3,17762.0
1355,Buffalo Soldiers,353743,353743,NA,15000000.0,25-Jul-03,R,NA,Miramax,Based on Book/Short Story,Comedy,Historical Fiction,NA,NA,6.9,13510.0
1356,Bulworth,26528684,29203383,NA,30000000.0,15-May-98,R,107.0,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Warren Beatty,75.0,6.8,15486.0
1357,W.,25534493,28575778,7871296.0,25100000.0,17-Oct-08,PG-13,131.0,Lionsgate,Based on Real Life Events,Drama,Dramatization,Oliver Stone,60.0,NA,NA
1358,Bowfinger,66458769,98699769,NA,55000000.0,13-Aug-99,PG-13,96.0,Universal,Original Screenplay,Comedy,Contemporary Fiction,Frank Oz,79.0,6.4,33389.0
1359,Bewitched,63313159,131413159,NA,80000000.0,24-Jun-05,PG-13,100.0,Sony Pictures,Based on TV,Comedy,Fantasy,Nora Ephron,24.0,4.8,26834.0
1360,Barnyard: The Original Party Animals,72779000,116618084,65043181.0,51000000.0,04-Aug-06,PG,90.0,Paramount Pictures,Original Screenplay,Comedy,Kids Fiction,Steve Oedekerk,23.0,NA,NA
1361,Beyond the Sea,6144806,7061637,NA,24000000.0,17-Dec-04,PG-13,NA,Lionsgate,Based on Real Life Events,Drama,Dramatization,Kevin Spacey,42.0,6.6,8002.0
1362,Cabin Fever,21158188,30553394,NA,1500000.0,12-Sep-03,R,NA,Lionsgate,Original Screenplay,Horror,Contemporary Fiction,Eli Roth,NA,5.4,28417.0
1363,CachÈ,3647381,17147381,NA,8000000.0,23-Dec-05,R,NA,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,NA,NA,5.5,26.0
1364,Cadillac Records,8138000,8138000,10049741.0,12000000.0,05-Dec-08,R,108.0,Sony Pictures,Based on Real Life Events,Drama,Dramatization,NA,67.0,6.7,5026.0
1365,Can't Hardly Wait,25358996,25358996,NA,10000000.0,12-Jun-98,PG-13,98.0,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,NA,44.0,6.2,19470.0
1366,Capote,28750530,46309352,17031573.0,7000000.0,30-Sep-05,R,NA,Sony Pictures Classics,Based on Real Life Events,Drama,Dramatization,Bennett Miller,90.0,7.6,41472.0
1367,Sukkar banat,1060591,14253760,NA,1600000.0,01-Feb-08,PG,NA,Roadside Attractions,Original Screenplay,Romantic Comedy,Contemporary Fiction,NA,NA,7.0,3799.0
1368,Disney's A Christmas Carol,137855863,323743744,NA,190000000.0,06-Nov-09,PG,NA,Walt Disney Pictures,Remake,Drama,Fantasy,Robert Zemeckis,53.0,NA,NA
1369,The Rage: Carrie 2,17760244,17760244,NA,21000000.0,12-Mar-99,R,101.0,MGM,Based on Book/Short Story,Horror,Contemporary Fiction,NA,16.0,4.3,7235.0
1370,Cars,244082982,461923762,246114559.0,70000000.0,09-Jun-06,G,NA,Walt Disney Pictures,Original Screenplay,Comedy,Kids Fiction,John Lasseter,74.0,7.5,66809.0
1371,Cast Away,233632142,427230516,NA,85000000.0,22-Dec-00,PG-13,144.0,20th Century Fox,Original Screenplay,Drama,Contemporary Fiction,Robert Zemeckis,89.0,7.5,102936.0
1372,Catch Me if You Can,164606800,351106800,NA,52000000.0,25-Dec-02,PG-13,141.0,Dreamworks SKG,Based on Book/Short Story,Drama,Dramatization,Steven Spielberg,96.0,5.7,224.0
1373,The Cat in the Hat,101018283,133818283,NA,109000000.0,21-Nov-03,PG,82.0,Universal,Based on Book/Short Story,Comedy,Fantasy,NA,NA,3.4,15318.0
1374,Cats Don't Dance,3588602,3588602,NA,32000000.0,26-Mar-97,G,NA,Warner Bros.,Original Screenplay,Musical,Fantasy,Mark Dindal,67.0,6.9,1663.0
1375,Catwoman,40202379,82102379,NA,100000000.0,23-Jul-04,PG-13,104.0,Warner Bros.,Based on Comic/Graphic Novel,Action,Super Hero,NA,10.0,3.2,34651.0
1376,Cecil B. Demented,1276984,1953882,NA,10000000.0,11-Aug-00,R,NA,Artisan,Original Screenplay,Black Comedy,Contemporary Fiction,John Waters,51.0,5.9,7565.0
1377,The Country Bears,16988996,16988996,NA,20000000.0,26-Jul-02,G,NA,Walt Disney Pictures,Disney Ride,Adventure,Kids Fiction,NA,27.0,3.8,2021.0
1378,Center Stage,17200925,17200925,NA,18000000.0,12-May-00,PG-13,NA,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,NA,42.0,6.2,7968.0
1379,The Corpse Bride,53359111,117359111,NA,30000000.0,16-Sep-05,PG,77.0,Warner Bros.,Traditional/Legend/Fairytale,Adventure,Fantasy,Tim Burton,NA,NA,NA
1380,Critical Care,220175,220175,NA,12000000.0,31-Oct-97,R,NA,NA,NA,NA,NA,Sidney Lumet,53.0,6.0,895.0
1381,Connie & Carla,8047525,8047525,NA,20000000.0,16-Apr-04,PG-13,NA,Universal,Original Screenplay,Comedy,Contemporary Fiction,Michael Lembeck,44.0,6.0,4359.0
1382,Collateral Damage,40048332,78353508,NA,85000000.0,08-Feb-02,R,109.0,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Andrew Davis,NA,5.2,24358.0
1383,Crocodile Dundee in Los Angeles,25590119,39393111,NA,25000000.0,20-Apr-01,PG,95.0,Paramount Pictures,Original Screenplay,Adventure,Contemporary Fiction,Simon Wincer,12.0,4.6,7082.0
1384,Celebrity,5078660,6200000,NA,12000000.0,20-Nov-98,R,NA,Miramax,Original Screenplay,Comedy,Contemporary Fiction,Woody Allen,41.0,6.1,10978.0
1385,The Cell,61280963,61280963,NA,35000000.0,18-Aug-00,R,109.0,New Line,Original Screenplay,Thriller/Suspense,Science Fiction,NA,46.0,6.2,36961.0
1386,Cellular,32003620,45261739,NA,45000000.0,10-Sep-04,PG-13,94.0,New Line,Original Screenplay,Thriller/Suspense,Contemporary Fiction,David R. Ellis,54.0,6.5,32534.0
1387,City of Ember,7871693,11817059,6086988.0,38000000.0,10-Oct-08,PG,94.0,20th Century Fox,Based on Book/Short Story,Adventure,Fantasy,Gil Kenan,53.0,6.4,14905.0
1388,Charlie and the Chocolate Factory,206459076,474459076,NA,150000000.0,15-Jul-05,PG,115.0,Warner Bros.,Remake,Comedy,Kids Fiction,Tim Burton,82.0,7.1,102437.0
1389,Catch a Fire,4299773,5699773,NA,14000000.0,27-Oct-06,PG-13,101.0,Focus Features,Based on Real Life Events,Thriller/Suspense,Dramatization,Phillip Noyce,76.0,6.8,5959.0
1390,Charlie's Angels: Full Throttle,100814328,227200000,NA,120000000.0,27-Jun-03,PG-13,106.0,Sony Pictures,Based on TV,Action,Contemporary Fiction,Joseph McGinty Nichol,NA,4.7,43942.0
1391,Charlie's Angels,125305545,263200000,NA,90000000.0,03-Nov-00,PG-13,98.0,Sony Pictures,Based on TV,Adventure,Contemporary Fiction,Joseph McGinty Nichol,67.0,5.5,60791.0
1392,Chasing Amy,12006514,15155095,NA,250000.0,04-Apr-97,R,NA,Miramax,Original Screenplay,Romantic Comedy,Contemporary Fiction,Kevin Smith,91.0,7.5,63591.0
1393,Chicago,170687518,307687518,NA,30000000.0,27-Dec-02,PG-13,113.0,Miramax,Based on Musical/Opera,Musical,Historical Fiction,Rob Marshall,88.0,7.2,82650.0
1394,Chicken Little,135386665,314432738,142108745.0,60000000.0,04-Nov-05,G,80.0,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,Mark Dindal,36.0,5.8,17415.0
1395,Chicken Run,106793915,227793915,NA,42000000.0,21-Jun-00,G,84.0,Dreamworks SKG,Original Screenplay,Adventure,Kids Fiction,Nick Park,96.0,7.3,48307.0
1396,Cheaper by the Dozen,138614544,189714544,NA,40000000.0,25-Dec-03,PG,98.0,20th Century Fox,Remake,Comedy,Contemporary Fiction,Shawn Levy,24.0,5.6,24283.0
1397,Cheaper by the Dozen 2,82571173,135015330,26537982.0,60000000.0,21-Dec-05,PG,94.0,20th Century Fox,Remake,Comedy,Contemporary Fiction,Adam Shankman,7.0,5.2,11858.0
1398,Cheri,2715657,2715657,NA,23000000.0,26-Jun-09,R,NA,Miramax,Based on Book/Short Story,Drama,Historical Fiction,Stephen Frears,54.0,6.1,3307.0
1399,Chill Factor,11263966,11263966,NA,34000000.0,01-Sep-99,R,NA,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,NA,7.0,4.9,5374.0
1400,Bride of Chucky,32404188,50692188,NA,25000000.0,16-Oct-98,R,89.0,Universal,Original Screenplay,Horror,Fantasy,Ronny Yu,43.0,5.3,13735.0
1401,Seed of Chucky,17016190,24716190,NA,29000000.0,12-Nov-04,R,NA,Focus/Rogue Pictures,Original Screenplay,Horror,Contemporary Fiction,NA,32.0,5.1,9897.0
1402,Children of Men,35552383,69450202,25345271.0,76000000.0,25-Dec-06,R,114.0,Universal,Based on Book/Short Story,Thriller/Suspense,Science Fiction,Alfonso Cuaron,93.0,8.1,158125.0
1403,Chloe,3075255,9675172,NA,13000000.0,26-Mar-10,R,NA,Sony Pictures Classics,NA,Thriller/Suspense,Contemporary Fiction,Atom Egoyan,NA,6.5,8772.0
1404,Love in the Time of Cholera,4617608,31077418,NA,45000000.0,16-Nov-07,R,139.0,New Line,Based on Book/Short Story,Drama,Historical Fiction,Mike Newell,27.0,6.2,8580.0
1405,Chocolat,71309760,152500343,NA,25000000.0,15-Dec-00,PG-13,122.0,Miramax,Based on Book/Short Story,Drama,Historical Fiction,Lasse Hallstrom,62.0,7.3,56176.0
1406,The Children of Huang Shi,1031872,5527507,NA,20000000.0,23-May-08,R,NA,Sony Pictures Classics,Based on Real Life Events,Drama,Dramatization,NA,31.0,6.9,4100.0
1407,Les Choristes,3629758,83529758,NA,5500000.0,26-Nov-04,PG-13,NA,Miramax,Remake,Drama,Historical Fiction,NA,NA,7.8,16391.0
1408,Chairman of the Board,306715,306715,NA,7000000.0,13-Mar-98,PG-13,NA,Trimark,Original Screenplay,Comedy,Contemporary Fiction,NA,14.0,2.1,3164.0
1409,Chuck&Buck,1055671,1157672,NA,250000.0,14-Jul-00,R,NA,Artisan,Original Screenplay,Drama,Contemporary Fiction,Chris Weitz,NA,6.5,3455.0
1410,The Chumscrubber,49526,49526,NA,6800000.0,05-Aug-05,R,NA,Picturehouse,Original Screenplay,Drama,Contemporary Fiction,NA,34.0,7.0,10449.0
1411,Charlotte's Web,82985708,143985708,83571732.0,82500000.0,15-Dec-06,G,98.0,Paramount Pictures,Based on Book/Short Story,Drama,Fantasy,Gary Winick,78.0,6.7,8028.0
1412,Cinderella Man,61649911,108539911,NA,88000000.0,03-Jun-05,PG-13,144.0,Universal,Based on Real Life Events,Drama,Dramatization,Ron Howard,80.0,8.0,63111.0
1413,A Cinderella Story,51438175,70067909,NA,19000000.0,16-Jul-04,PG,95.0,Warner Bros.,Traditional/Legend/Fairytale,Romantic Comedy,Contemporary Fiction,NA,10.0,5.4,14904.0
1414,City of Angels,78750909,198750909,NA,55000000.0,10-Apr-98,PG-13,117.0,Warner Bros.,Remake,Drama,Fantasy,Brad Silberling,59.0,6.4,40053.0
1415,A Civil Action,56709981,56709981,NA,60000000.0,25-Dec-98,PG-13,112.0,Walt Disney Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Steven Zaillian,61.0,6.4,14244.0
1416,CJ7,206678,47300771,NA,20000000.0,07-Mar-08,PG,NA,Sony Pictures Classics,Original Screenplay,Comedy,Kids Fiction,Stephen Chow,NA,NA,NA
1417,The Cookout,11540112,11540112,NA,16000000.0,03-Sep-04,PG-13,NA,Lionsgate,Original Screenplay,Comedy,Contemporary Fiction,NA,5.0,3.2,1659.0
1418,The Claim,622023,622023,NA,13000000.0,29-Dec-00,R,NA,MGM,Based on Book/Short Story,Western,Historical Fiction,NA,63.0,6.5,3681.0
1419,The Santa Clause 2,139225854,172825854,NA,65000000.0,01-Nov-02,G,104.0,Walt Disney Pictures,Original Screenplay,Comedy,Kids Fiction,Michael Lembeck,NA,5.5,9061.0
1420,Cold Mountain,95632614,161632614,NA,80000000.0,25-Dec-03,R,152.0,Miramax,Based on Book/Short Story,Drama,Historical Fiction,Anthony Minghella,70.0,7.3,51083.0
1421,Clean,138711,138711,NA,10000.0,28-Apr-06,R,NA,Palm Pictures,Original Screenplay,Drama,Contemporary Fiction,NA,NA,NA,NA
1422,Click,137355633,237555633,81244755.0,82500000.0,23-Jun-06,PG-13,NA,Sony Pictures,Original Screenplay,Comedy,Fantasy,Frank Coraci,32.0,5.0,133.0
1423,Code Name: The Cleaner,8135024,8135024,4492233.0,20000000.0,05-Jan-07,PG-13,91.0,New Line,Original Screenplay,Comedy,Contemporary Fiction,Les Mayfield,4.0,4.0,5277.0
1424,Welcome to Collinwood,378650,378650,NA,12000000.0,04-Oct-02,R,NA,Warner Bros.,NA,NA,NA,NA,53.0,6.2,7887.0
1425,Closer,33987757,115987757,NA,35000000.0,03-Dec-04,R,104.0,Sony Pictures,Based on Play,Drama,Contemporary Fiction,Mike Nichols,68.0,2.9,212.0
1426,Clerks II,24148068,25894473,26411041.0,5000000.0,21-Jul-06,R,NA,MGM,Original Screenplay,Comedy,Contemporary Fiction,Kevin Smith,63.0,7.7,56668.0
1427,Maid in Manhattan,93932896,154832896,NA,55000000.0,13-Dec-02,PG-13,105.0,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Wayne Wang,39.0,4.6,30370.0
1428,It's Complicated,112735375,224614744,29195673.0,75000000.0,25-Dec-09,R,NA,Universal,Original Screenplay,Romantic Comedy,Contemporary Fiction,Nancy Meyers,57.0,6.7,17748.0
1429,The Company,2281585,3396508,NA,15000000.0,25-Dec-03,PG-13,NA,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,Robert Altman,69.0,6.2,3649.0
1430,Constantine,75976178,230884728,NA,75000000.0,18-Feb-05,R,122.0,Warner Bros.,Based on Comic/Graphic Novel,Action,Contemporary Fiction,Francis Lawrence,46.0,6.7,78705.0
1431,The Contender,17804273,17804273,NA,9000000.0,13-Oct-00,R,NA,Dreamworks SKG,Original Screenplay,Drama,Contemporary Fiction,Rod Lurie,76.0,6.9,13709.0
1432,Die F‰lscher,5488570,19416495,NA,6250000.0,22-Feb-08,R,NA,Sony Pictures Classics,Based on Real Life Events,Drama,Dramatization,NA,NA,7.6,16525.0
1433,Control,871577,5645350,NA,6400000.0,10-Oct-07,R,NA,Weinstein Co.,Based on Book/Short Story,Drama,Dramatization,NA,87.0,7.8,19466.0
1434,Centurion,119621,119621,NA,15000000.0,27-Aug-10,NA,NA,Magnolia Pictures,NA,NA,NA,NA,55.0,6.5,8997.0
1435,Coach Carter,67264877,76669806,NA,45000000.0,14-Jan-05,PG-13,136.0,Paramount Pictures,Original Screenplay,Drama,Contemporary Fiction,NA,65.0,7.1,23526.0
1436,Confessions of a Dangerous Mind,16007718,33013805,NA,29000000.0,31-Dec-02,R,NA,Miramax,Based on Book/Short Story,Drama,Dramatization,George Clooney,79.0,7.1,36258.0
1437,Coco avant Chanel,6113834,48846765,NA,23000000.0,25-Sep-09,PG-13,NA,Sony Pictures Classics,Based on Real Life Events,Drama,Dramatization,NA,NA,6.5,6720.0
1438,Code 46,197148,197148,NA,7500000.0,06-Aug-04,R,NA,MGM,NA,NA,Science Fiction,Michael Winterbottom,NA,6.3,9608.0
1439,Agent Cody Banks 2: Destination London,23514247,28703083,NA,26000000.0,12-Mar-04,PG,100.0,MGM,Original Screenplay,Comedy,Kids Fiction,NA,NA,4.1,4063.0
1440,Agent Cody Banks,47545060,58240458,NA,25000000.0,14-Mar-03,PG,102.0,MGM,Original Screenplay,Comedy,Kids Fiction,NA,38.0,5.1,9527.0
1441,Collateral,100170152,217670152,NA,60000000.0,06-Aug-04,R,120.0,Dreamworks SKG,Original Screenplay,Action,Contemporary Fiction,Michael Mann,86.0,7.8,105362.0
1442,College,4694491,5629618,NA,6000000.0,29-Aug-08,R,94.0,MGM,Original Screenplay,Comedy,Contemporary Fiction,NA,5.0,4.3,6496.0
1443,Company Man,146028,146028,NA,12000000.0,09-Mar-01,PG-13,NA,NA,NA,NA,NA,NA,NA,5.0,1305.0
1444,Come Early Morning,119452,119452,NA,6000000.0,10-Nov-06,R,NA,IDP/Goldwyn/Roadside,Original Screenplay,Drama,Contemporary Fiction,Joey Lauren Adams,83.0,6.2,1511.0
1445,Con Air,101117573,224117573,NA,80000000.0,06-Jun-97,R,115.0,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Simon West,57.0,6.6,76052.0
1446,Confidence,12212417,12212417,NA,15000000.0,25-Apr-03,R,NA,Lionsgate,Original Screenplay,Drama,Contemporary Fiction,James Foley,71.0,6.8,17111.0
1447,Conspiracy Theory,76118990,137118990,NA,80000000.0,08-Aug-97,R,135.0,Warner Bros.,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Richard Donner,51.0,6.5,35719.0
1448,Contact,100920329,165900000,NA,90000000.0,11-Jul-97,PG,150.0,Warner Bros.,Based on Book/Short Story,Drama,Science Fiction,Robert Zemeckis,67.0,7.3,73684.0
1449,The Cooler,8291572,10464788,NA,4000000.0,26-Nov-03,R,NA,Lionsgate,Original Screenplay,Drama,Contemporary Fiction,NA,77.0,7.0,19072.0
1450,Copying Beethoven,355968,355968,NA,11000000.0,10-Nov-06,PG-13,104.0,MGM,Based on Real Life Events,Drama,Dramatization,NA,NA,6.8,5017.0
1451,Corky Romano,23978402,23978402,NA,11000000.0,12-Oct-01,PG-13,86.0,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,NA,5.0,4.2,6739.0
1452,Coraline,75286229,124062750,46101073.0,60000000.0,06-Feb-09,PG,100.0,Focus Features,Based on Book/Short Story,Adventure,Kids Fiction,NA,89.0,7.8,38464.0
1453,Confessions of a Teenage Drama Queen,29331068,33051296,NA,15000000.0,20-Feb-04,PG,89.0,Walt Disney Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,NA,13.0,4.3,9976.0
1454,The Covenant,23364784,38164784,26360430.0,20000000.0,08-Sep-06,PG-13,95.0,Sony/Screen Gems,Based on Comic/Graphic Novel,Thriller/Suspense,Contemporary Fiction,Renny Harlin,3.0,4.8,17736.0
1455,Cop Land,44906632,63706632,NA,15000000.0,15-Aug-97,R,105.0,Miramax,Original Screenplay,Drama,Contemporary Fiction,James Mangold,71.0,6.9,35192.0
1456,Couples Retreat,109205660,172450423,34715888.0,60000000.0,09-Oct-09,PG-13,113.0,Universal,Original Screenplay,Comedy,Contemporary Fiction,Peter Billingsley,12.0,5.5,18332.0
1457,Cradle Will Rock,2899970,2899970,NA,32000000.0,08-Dec-99,R,NA,Walt Disney Pictures,Original Screenplay,Drama,Dramatization,Tim Robbins,64.0,6.7,6127.0
1458,Crank,27838408,33824696,28776986.0,12000000.0,01-Sep-06,R,88.0,Lionsgate,Original Screenplay,Action,Contemporary Fiction,NA,61.0,7.1,71094.0
1459,Crash,3357324,3357324,NA,10000000.0,04-Oct-96,R,NA,Fine Line,Based on Book/Short Story,Drama,Contemporary Fiction,David Cronenberg,65.0,6.1,20886.0
1460,The Crazies,39123589,43027734,8835872.0,20000000.0,26-Feb-10,R,NA,Overture Films,Remake,Horror,Contemporary Fiction,NA,71.0,6.7,21135.0
1461,Crazy in Alabama,1954202,1954202,NA,15000000.0,22-Oct-99,PG-13,NA,Sony Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Antonio Banderas,31.0,5.7,3991.0
1462,The Crew,13019253,13019253,NA,23000000.0,25-Aug-00,PG-13,NA,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,NA,19.0,6.0,1307.0
1463,Cradle 2 the Grave,34657731,56434942,NA,25000000.0,28-Feb-03,R,101.0,Warner Bros.,Original Screenplay,Horror,Contemporary Fiction,Andrzej Bartkowiak,26.0,5.4,14834.0
1464,Crocodile Hunter: Collision Course,28436931,33436931,NA,12500000.0,12-Jul-02,PG,90.0,MGM,Based on TV,Comedy,Contemporary Fiction,NA,NA,NA,NA
1465,The In Crowd,5217498,5217498,NA,15000000.0,19-Jul-00,PG-13,NA,Warner Bros.,Original Screenplay,Thriller/Suspense,Contemporary Fiction,NA,2.0,4.2,2720.0
1466,The Corruptor,15164492,15164492,NA,10000000.0,12-Mar-99,R,110.0,New Line,Original Screenplay,Action,Contemporary Fiction,James Foley,48.0,5.8,9008.0
1467,Man cheng jin dai huang jin jia,6566773,75566773,10581873.0,45000000.0,21-Dec-06,R,113.0,Sony Pictures Classics,Based on Play,Action,Historical Fiction,Yimou Zhang,NA,7.0,17975.0
1468,Crash,54557348,98387109,NA,6500000.0,06-May-05,R,107.0,Lionsgate,Original Screenplay,Drama,Contemporary Fiction,Paul Haggis,75.0,6.1,20886.0
1469,Crossover,7009668,7009668,2177636.0,5600000.0,01-Sep-06,PG-13,NA,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,NA,3.0,1.7,7466.0
1470,Crossroads,37188667,57000000,NA,12000000.0,15-Feb-02,PG-13,93.0,Paramount Pictures,Original Screenplay,Drama,Contemporary Fiction,NA,14.0,6.6,4894.0
1471,The Count of Monte Cristo,54228104,54228104,NA,40000000.0,25-Jan-02,PG-13,131.0,Walt Disney Pictures,Based on Book/Short Story,Drama,Historical Fiction,Kevin Reynolds,74.0,7.6,40605.0
1472,Cruel Intentions,38230075,75803716,NA,11000000.0,05-Mar-99,R,95.0,Sony Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Roger Kumble,47.0,6.7,66861.0
1473,The Cry of the Owl,0,0,NA,11500000.0,27-Nov-09,R,NA,NA,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,NA,14.0,6.2,1244.0
1474,Cry Wolf,10047674,15585495,NA,1000000.0,16-Sep-05,PG-13,NA,Focus/Rogue Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,NA,24.0,6.4,372.0
1475,Crazy Heart,39462438,47163756,13929671.0,8500000.0,16-Dec-09,R,NA,Fox Searchlight,Original Screenplay,Drama,Contemporary Fiction,NA,92.0,7.4,17255.0
1476,crazy/beautiful,16929123,19929123,NA,13000000.0,29-Jun-01,PG-13,NA,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,NA,NA,6.3,12102.0
1477,The Last Castle,18208078,20541668,NA,60000000.0,19-Oct-01,R,NA,Dreamworks SKG,Original Screenplay,Drama,Contemporary Fiction,Rod Lurie,52.0,6.5,21621.0
1478,Clockstoppers,36985501,38788828,NA,26000000.0,29-Mar-02,PG,94.0,Paramount Pictures,Original Screenplay,Adventure,Science Fiction,Jonathan Frakes,28.0,5.0,6392.0
1479,Catch That Kid,16703799,16930762,NA,18000000.0,06-Feb-04,PG,NA,20th Century Fox,Remake,Adventure,Contemporary Fiction,NA,NA,4.7,3038.0
1480,Cats & Dogs,93375151,200700000,NA,60000000.0,04-Jul-01,PG,91.0,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,NA,53.0,5.2,16912.0
1481,The City of Your Final Destination,493296,493296,NA,8300000.0,16-Apr-10,PG-13,114.0,Hyde Park Films,Based on Book/Short Story,Drama,Contemporary Fiction,James Ivory,40.0,6.6,430.0
1482,Cidade de Deus,7563397,28763397,NA,3300000.0,17-Jan-03,R,NA,Miramax,Based on Book/Short Story,Drama,Contemporary Fiction,Katia Lund,NA,8.8,166897.0
1483,City of Ghosts,325491,325491,NA,17500000.0,25-Apr-03,R,NA,MGM,Original Screenplay,Drama,Contemporary Fiction,Matt Dillon,NA,5.9,2880.0
1484,City by the Sea,22433915,22433915,NA,40000000.0,06-Sep-02,R,NA,Warner Bros.,Based on Magazine Article,Drama,Contemporary Fiction,Michael Caton-Jones,48.0,6.1,13487.0
1485,The Cube,489220,489220,NA,250000.0,11-Sep-98,NA,NA,NA,NA,NA,NA,NA,NA,7.1,202.0
1486,Coyote Ugly,60786269,115786269,NA,45000000.0,04-Aug-00,PG-13,101.0,Walt Disney Pictures,Based on Real Life Events,Drama,Contemporary Fiction,NA,21.0,5.3,33808.0
1487,Curious George,58640119,70114174,47809786.0,50000000.0,10-Feb-06,G,NA,Universal,Based on Book/Short Story,Comedy,Contemporary Fiction,NA,69.0,6.7,5393.0
1488,Cursed,19294901,25114901,NA,35000000.0,25-Feb-05,PG-13,NA,Miramax/Dimension,Original Screenplay,Horror,Fantasy,Wes Craven,NA,4.8,14425.0
1489,Civil Brand,254293,254293,NA,500000.0,29-Aug-03,R,NA,Lionsgate,Original Screenplay,Drama,Contemporary Fiction,NA,NA,4.9,340.0
1490,Cloudy with a Chance of Meatballs,124870275,139525862,42574228.0,100000000.0,18-Sep-09,PG,90.0,Sony Pictures,Based on Book/Short Story,Comedy,Kids Fiction,Phil Lord,86.0,7.2,19913.0
1491,Charlie Wilson's War,66661095,118661095,17517037.0,75000000.0,21-Dec-07,R,NA,Universal,Based on Book/Short Story,Drama,Dramatization,Mike Nichols,81.0,7.3,43168.0
1492,Cyrus,7426671,8514729,NA,7000000.0,18-Jun-10,R,NA,Fox Searchlight,Original Screenplay,Comedy,NA,Mark Duplass,81.0,NA,NA
1493,Daddy Day Camp,13235267,18197398,5405521.0,76000000.0,08-Aug-07,PG,85.0,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,NA,1.0,2.4,6809.0
1494,Daddy Day Care,104148781,164285587,NA,60000000.0,09-May-03,PG,92.0,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Steve Carr,28.0,5.5,14944.0
1495,The Black Dahlia,22672813,46672813,12350794.0,60000000.0,15-Sep-06,R,121.0,Universal,Based on Book/Short Story,Thriller/Suspense,Historical Fiction,Brian De Palma,33.0,5.6,35210.0
1496,Diary of a Mad Black Woman,50406346,50425450,NA,5500000.0,25-Feb-05,PG-13,116.0,Lionsgate,Based on Play,Drama,Contemporary Fiction,NA,16.0,4.9,5565.0
1497,Dance Flick,25662155,32092761,NA,25000000.0,22-May-09,PG-13,83.0,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,Damien Wayans,17.0,3.4,5002.0
1498,"Dancer, Texas Pop. 81",574838,574838,NA,2300000.0,01-May-98,PG,NA,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,NA,80.0,NA,NA
